n,col0,col1,col2,col3,col4,col5,col6,col7
109,-0.0547095,-0.0780972,-0.66539,0.456231,0.552781,-0.777866,0.664066,-1.71561
110,-0.565935,1.03479,0.796216,-0.629607,-0.634577,-0.722663,-0.822859,2.70412
111,0.115157,-0.796786,0.598288,0.761743,-0.552587,-0.097775,-0.274132,-2.61042
112,0.165284,-0.786841,-0.556639,-0.164144,-0.166791,0.533899,-0.47953,-5.3333
113,-0.462047,-0.132233,0.299735,-0.748694,0.616815,0.246433,1.32075,-2.58827
114,0.228303,-0.440858,0.15876,-0.11697,-1.63716,0.0385248,-0.474215,-0.502007
115,0.700127,-0.454995,0.156987,0.943166,-0.527063,-0.137006,-0.230127,1.67266
116,-0.190668,-0.0488495,-0.933565,-0.173315,0.407136,-0.610092,-1.92043,-0.486137
117,-0.767637,-0.842206,-0.157063,0.248417,-0.525993,0.138095,0.449977,-1.37055
118,0.709019,0.635374,1.7081,-0.141444,0.604928,-0.30944,0.498356,1.30656
119,0.126886,1.20599,-0.606083,-0.00469276,-0.484975,0.374155,0.584046,-1.78668
120,0.108493,0.0554411,0.559729,-0.565297,0.438785,0.189868,0.395744,-1.41919
121,-0.196607,0.427434,0.798443,0.605874,-0.57202,-0.246579,-0.808248,-1.87256
122,-0.61229,0.46309,1.36423,-0.429099,0.42439,0.594201,-0.322469,2.74587
123,-1.12578,-0.36688,0.310337,0.30724,-0.0705656,0.0349359,-0.0494932,-0.157955
124,0.0741323,-0.0315316,-0.357929,-0.476769,-0.427463,-0.879213,0.919316,-0.770052
125,-0.465258,-0.44333,-0.103753,-0.0451388,-0.274433,1.00505,0.693123,-1.80087
126,-0.978989,-0.364138,-0.177924,-0.168984,-0.208757,-1.2394,-1.06657,0.578967
127,-0.357941,0.35662,-0.105078,1.00088,-0.103065,-0.260141,-0.201554,0.467915
